"Block!","Treat!","Calluna vulgaris08","Exotic dicots08","Exotic monocots08","Native dicots08","Native monocots08","Bryophytes08","Lichen08","Clubmoss08","bare08","litter08","Calluna vulgaris09","Exotic dicots09","Exotic monocots09","Native dicots09","Native monocots09","Bryophytes09","Lichen09","Clubmoss09","bare09","litter09","Calluna vulgaris10","Exotic dicots10","Exotic monocots10","Native dicots10","Native monocots10","Bryophytes10","Lichen10","Clubmoss10","bare10","litter10","Calluna vulgaris12","Exotic dicots12","Exotic monocots12","Native dicots12","Native monocots12","Bryophytes12","Lichen12","Clubmoss12","bare12","litter12"
1,"B",0.401653411951564,0.0718250980717508,0.0219789404387079,0.162122057724892,0.0298993608591283,0.182004522646871,0.017343467659417,0,0.00914674634794157,0.104026394299727,0.00462962962962963,0.108322707953855,0.044769656952034,0.191723208864602,0.0378726472374013,0.158328400121433,0.0287268518518519,0,0.005,0.420626897389193,0.00324675324675325,0.0804271186449038,0.058520843783462,0.176512013393921,0.0316811525795233,0.259046112256207,0.0158405762897617,0,0.00568181818181818,0.36904361162365,0.0147045309959709,0.10653132006119,0.230462655593359,0.23089474266829,0.0675320189226064,0.240854784866716,0.0127546542969974,0,0.00531914893617021,0.0909461436586996
2,"B",0.665239396733404,0.0442065661222339,0.0179947642255005,0.137849051633298,0.00980769230769231,0.0575688224446786,0.0304326923076923,0,0.00390625,0.0329947642255005,0,0.0774046110526796,0.0171172414608801,0.174031340514356,0.0265365344092716,0.0796182693858045,0.0375670465973852,0,0.00398089171974522,0.583744064859877,0.00461254612546126,0.0424660894808394,0.0212330447404197,0.159249965075828,0.0249222298317166,0.106186518928901,0.0306932362952438,0,0,0.61063636952159,0.00416666666666667,0.0961078252279182,0.178141447158314,0.236321034158991,0.0453560197663971,0.0802668697810878,0.0288241239892183,0,0,0.330816013251406
3,"B",0.532519610577045,0.0549926923000434,0.0160786451810956,0.0587723214954615,0.0150863941888446,0.152561090345213,0.121293249772017,0.0123489300365894,0.00832963743208781,0.0280174286716032,0.103058378581279,0.0613313155042164,0.0204244214341299,0.0669635109206907,0.0146247331377588,0.180638044691561,0.0860481101167982,0.0106050331525015,0.00688479505726341,0.449421657403801,0.0125977239770506,0.0889910021604223,0.0390590922234087,0.0720465302108304,0.0164154219681603,0.213240408098649,0.0587119359229545,0.00759496588604094,0,0.491342919552484,0.0114929214929215,0.0764926570406022,0.123241480227782,0.0807397612877065,0.0402917790589023,0.267501630789302,0.0556677421060983,0.0115842456938347,0,0.332987782302851
4,"B",0.599892117800921,0.0263800005844365,0.0227922018285705,0.0958192069674367,0.0694338838366941,0.067132665286681,0.0562555573645255,0,0.00409836065573771,0.0581960056749973,0.0135135135135135,0.0416264478764479,0.0272683397683398,0.119208494208494,0.0918194980694981,0.0272683397683398,0.0440395752895753,0.00422297297297297,0.00892857142857143,0.622104247104247,0.012463059386434,0.0466958831896912,0.103166053049954,0.101182178871807,0.115746384225486,0.0597611490606847,0.0913231871049208,0.00334224598930481,0,0.466319859121717,0.0183919070216525,0.103302569949464,0.329987365955873,0.0854833035457496,0.204108503841571,0.0254786556555323,0.0128959694317762,0.00409836065573771,0.00520833333333333,0.21104503060931
5,"B",0.466626187297284,0.0277895542678501,0.0150137399589381,0.100443982394292,0.0341331172781525,0.247475139170944,0.0430170199840291,0.00346260387811634,0.011732900063925,0.0503057557064682,0.00400641025641026,0.02376002168717,0.0156955055581377,0.126252056892041,0.0369218661367788,0.257551972055005,0.0355008126051092,0.00400641025641026,0.00791266025641026,0.488392284296527,0.00461254612546126,0.0240204497681145,0.0152600906713109,0.141665763425024,0.0389525906149467,0.295794139013558,0.0541785915788447,0.00461254612546126,0.0124302204560507,0.408473062221227,0.0413374420564686,0.0319115670058038,0.0661516705532549,0.203665435938649,0.0764337224380686,0.301171128849997,0.0389277427347389,0.00368731563421829,0.00368731563421829,0.233026659154582
6,"B",0.600335516773403,0.0246711098203892,0.0171636023128817,0.0839741120712294,0.0305734508720095,0.104485475925078,0.0592348625979374,0.00375375375375375,0,0.0758081158733183,0.0172569404224101,0.031062935988848,0.0193059588232082,0.111113499040017,0.0316660075982886,0.0835330453203339,0.0839058075918276,0.0140449438202247,0,0.608110861394842,0.00409836065573771,0.0638415599351084,0.0254668822432794,0.0974728415737822,0.0417712300693664,0.112362353093794,0.0578415810700704,0.00766871165644172,0,0.58947647970242,0.00957484816005716,0.0967918836575939,0.0817185993052985,0.188816879086071,0.0843222576659819,0.130577974075867,0.0426347116645191,0.00531914893617021,0,0.360243697448441
1,"C",0.417681316924701,0.0219205026726073,0.0148468592617546,0.0810879462496062,0.0326006952676952,0.310221207560044,0.0823681898758124,0.00416666666666667,0.0101298781296791,0.0249767373914337,0.511981547004767,0.0239789629302013,0.0160598596163612,0.0790159631103904,0.0408829467459498,0.254138204989598,0.0495765557685062,0.00462962962962963,0,0.0197363302045965,0.513531318845764,0.0231080051840269,0.0156732597839413,0.0854705662799775,0.0442963210789596,0.269189153412178,0.0284960718355912,0,0,0.0202353035795617,0.567560117397156,0.0340302001035857,0.0492196732757412,0.0775443124664372,0.0721082079764824,0.141801084884019,0.0213206798504779,0,0,0.0364157240461004
2,"C",0.59953636656687,0.0381585547285771,0.00780869310983335,0.0450802924782069,0.00762258889147107,0.0486444702359331,0.231190780761973,0,0,0.0219582532271354,0.660216215830623,0.0509763765367021,0.0126833304799406,0.0702763398180437,0.0125578844496106,0.0464561895343563,0.134304312827952,0,0,0.0125293505227716,0.665764132064453,0.0295975280685355,0.0123596510047915,0.0756764713537817,0.0246880045405969,0.0523778779583184,0.118452707212114,0,0,0.0210836277974087,0.714711662269599,0.0264304379267634,0.0194167985437115,0.0866163257008353,0.0253350199298918,0,0.117803272340231,0,0,0.00968648328896776
3,"C",0.442457558567517,0.0325482137714352,0.0182902359179757,0.0842900655408744,0.0898131232419193,0.223111355090706,0.0872929619515968,0.00341530054644809,0.00390625,0.0148749353715276,0.583384662169165,0.0319793443217713,0.0210450619330167,0.0981234232303978,0.0476589038168022,0.155938131111562,0.0327882078245607,0.00461254612546126,0,0.0244697194672633,0.549809425949857,0.0335642335216436,0.0201546956652031,0.0975011228375536,0.0495910602540775,0.193302766251824,0.0280013790559038,0.00444839857651246,0,0.0236269178874254,0.52205033772198,0.0298552194074582,0.018624783177022,0.0917357518103787,0.0573794364839141,0.209441304963693,0.0408064572243677,0.00454545454545455,0,0.0255612546657323
4,"C",0.330913814117007,0.0762383231324142,0.0188110510274122,0.183701312714737,0.11738954391529,0.0905715747062839,0.056825280026163,0.00413907284768212,0.0229501238750944,0.0984599036379159,0.397216285823881,0.0790125486328018,0.0213276526567666,0.169372751018321,0.116193581383455,0.0560610627066323,0.0539253292417849,0.00527426160337553,0.0105485232067511,0.0910680037262316,0.360657405362757,0.085685863630236,0.0353195632639356,0.176334581868421,0.11272314321112,0.0768568870919853,0.0639764260820086,0.00457875457875458,0.00457875457875458,0.0792886203320274,0.410808861464103,0.0650808318399044,0.0633625400510481,0.130029715841208,0.102509809112632,0.0870060653578799,0.0403877484522646,0.00403225806451613,0.00403225806451613,0.0927499117519279
5,"C",0.428795901454397,0.0267134454488222,0.0157191626344761,0.102368674106264,0.0310967767230376,0.220977034966266,0.055631873656049,0,0.01168690456996,0.107010226440728,0.524686716344865,0.026617068748465,0.0214973867507759,0.0931029874115661,0.02750207686265,0.195096344424404,0.0394209195521231,0,0.00898692810457516,0.063089571800576,0.524444222263659,0.0160465932170112,0.0207022376855049,0.101359124553955,0.0234962938776194,0.20147841157425,0.0490193897890648,0,0.00462962962962963,0.0588240974093064,0.594132332283572,0.0246981935035609,0.0251017664695531,0.108692112060176,0.0378680066233168,0.119769127942543,0.0485809808097515,0,0,0.0411574803075273
6,"C",0.728695243619824,0.013536589716569,0.0238462625279423,0.0494155670132219,0.0301346062104259,0.102723368708676,0.0470187325737118,0.00462962962962963,0,0,0.677927388346643,0.0180664004732328,0.0225306861875185,0.0615239574090506,0.0323861283643892,0.140136793847974,0.047428645371192,0,0,0,0.692440390790463,0.0179446778711485,0.0259765491562479,0.055629568900731,0.0259466591514655,0.109713397554144,0.0549506387921022,0,0,0.0173981177836988,0.721992840219441,0.0138977231033881,0.0281596653209954,0.0612337341093499,0.0311587359001152,0.0720815172785616,0.0383004037560688,0,0,0.0331753803120798
1,"H",0.346104404202996,0.0119410909903868,0.0119410909903868,0.0995295849169089,0.0716335047320963,0.252174156047395,0.0868088158581116,0.00753968253968254,0.00753968253968254,0.104787987182353,0.298082136080239,0.00490196078431373,0.0185241659387769,0.0968670622370812,0.0849070811120147,0.266941005792998,0.052837891428973,0.00893421884882985,0.00403225806451613,0.163972219712258,0.0425679923718621,0,0.0180080896209729,0.0491571904526071,0.0904930874019951,0.282926895939592,0.0492580896209729,0.0082068006843456,0,0.459381853907652,0.0810292680328199,0.00383435582822086,0.0516346056626974,0.0476407602013027,0.229573884360775,0.27687318780312,0.0365387814209254,0.00383435582822086,0,0.269040800861918
2,"H",0.612632737632738,0.0257349132349132,0.0199478761978762,0.0964695027195027,0.0700174825174825,0.0138986013986014,0.0422947422947423,0,0.00480769230769231,0.114196451696452,0.643397048893549,0.0200311906138974,0.0192808066965443,0.103761855852211,0.0775489904184485,0.0192808066965443,0.0243828475128708,0,0.00510204081632653,0.0872144124996083,0.126487764453544,0.013034188034188,0.0316331935913685,0.0523874752201748,0.0994629683793182,0.0189408858990608,0.060232199148549,0,0.00475285171102662,0.59306847356277,0.13235046571653,0.0297057943365877,0.198144615269517,0.065962480828938,0.220953503160887,0,0.0281393782964875,0,0.0394456289978678,0.285298133393184
3,"H",0.441671367947569,0.0366549265639546,0.0253796393491681,0.0648144347663071,0.0525358680078271,0.249654681456925,0.0972248178726689,0.00684931506849315,0.00366568914956012,0.0215492598175263,0.259405184133749,0.0080091533180778,0.0318860242115999,0.0819777196852517,0.0708160272951645,0.274130141407029,0.0474936050365721,0.0142614862781375,0.0036231884057971,0.208397470228621,0.0199713765287536,0,0.0289914082640549,0.057068045797554,0.0695883330516591,0.29591843920262,0.0788973827094919,0.00806661462399167,0,0.441498399821875,0.031474358974359,0,0.267266430887121,0.0488093132920719,0.0959681697612732,0.344328028293546,0.0200950486295314,0.0225641025641026,0,0.169494547597996
4,"H",0.449971369863361,0.0410228052973354,0.0217389514275797,0.0287812049487064,0.0642939757631958,0.267928039545059,0.062426524428094,0.00704225352112676,0.0108648834905457,0.0459299917149959,0.237665337833402,0.00403225806451613,0.055396728574479,0.0392676963164145,0.0782743098944952,0.282780240783569,0.0129865273321848,0.00926238358752868,0.00403225806451613,0.276302259548895,0.0299240314121388,0.00520833333333333,0.0898491626668265,0.0270745709138522,0.0926581594015767,0.344398839002119,0.0500507811719668,0.013530588789188,0,0.347305533308998,0.0775748877137062,0.00431034482758621,0.249188414589974,0.0386787797015358,0.154854344755143,0.316950702694871,0.0190709365642809,0.0108543417366947,0,0.128517247416208
5,"H",0.339136923891044,0.0447613705704945,0.0166901667238104,0.0798265854932003,0.0137105055586147,0.379842555040599,0.0224028058227397,0,0.00377643504531722,0.0998526518541803,0.318919563735515,0,0.0181399113837764,0.077582651670075,0.0297520449897751,0.36596284935242,0.0390576005453306,0,0.00680555555555556,0.143779822767553,0.0132262352526989,0,0.0297739408031954,0.0593948235006674,0.0351284142124708,0.419495221918641,0.0558527889623355,0,0,0.387128575349991,0.101724054652925,0.00423728813559322,0.139848421913524,0.0619130815996287,0.0843281866861755,0.40654070259772,0.0232112476953268,0,0,0.178197016719107
6,"H",0.58561799646137,0.00454545454545455,0.0134116887128935,0.0559401943438088,0.0608012469458253,0.23435771056253,0.0403056281068329,0,0,0.00502008032128514,0.480179571157608,0.00452898550724638,0.0122167789344764,0.0453680927774758,0.0626503402437095,0.251021361846376,0.0346520500629571,0.0186594202898551,0,0.0907233991802959,0.0781570710180624,0,0.013578869047619,0.015625,0.0565540332512315,0.326790845648604,0.0178892138752053,0.0104166666666667,0,0.480988300492611,0.00471698113207547,0.00510204081632653,0.0897901416533547,0.0360350752155297,0.211125697343182,0.308304062036972,0.0185365968223465,0.00943396226415094,0,0.316955442716062
1,"HB",0.502515395082799,0.0182983651161466,0.0161837034620112,0.145063254152161,0.0481385906800563,0.0692150407143807,0.100831856798257,0,0.00328947368421053,0.0964643203099774,0,0.0048828125,0.0319230248917749,0.155445075757576,0.0646704207251082,0.123916057900433,0.0756966991341991,0,0,0.543465909090909,0,0,0.0454487887998526,0.0759923193433832,0.0969305517177858,0.144201641542067,0.0259100631441057,0,0,0.611516635452806,0.00966010733452594,0.0135062611806798,0.268383391394407,0.0367620751341682,0.143745096193077,0.183017920472021,0.0947478266327716,0,0,0.25017732165835
2,"HB",0.727490841284399,0.0344435689686332,0.0194147669404569,0.0344435689686332,0.0482563815430557,0.00480769230769231,0.11191241075636,0,0,0.0192307692307692,0.00555555555555556,0.0149018232819074,0.0198302885364596,0.0444406983852987,0.0611036189928196,0.0362903225806452,0.0655809088838542,0,0,0.75229678378346,0,0.0158695652173913,0.0514417146041192,0.0269258524264839,0.15785005377977,0.0634902442811894,0.146039776477117,0,0,0.538382793213929,0.00520833333333333,0.0257994778849596,0.263805571946088,0.0447564207994934,0.177835821036988,0.0209441489361702,0.0412791459468129,0,0,0.420371080116155
3,"HB",0.506723798744172,0.0388484652491444,0.0148614142884092,0.0926863529792222,0.0643210849704907,0.0148614142884092,0.191137116986013,0.0108931603201552,0.014797410192147,0.0508697819818363,0,0.0139642610388795,0.0340348439168394,0.0831439215501539,0.0550034153005465,0.0352188147729414,0.0940825010991772,0.0150742337164751,0.0177153994723949,0.651762609132592,0,0.00578703703703704,0.0619161786476962,0.0630735860551036,0.0957491582491583,0.0951591957185342,0.0309580893238481,0.019384015249774,0.0182266078423666,0.609746131876482,0.0101241126030856,0.013477366255144,0.241185700063507,0.0429811034118235,0.133192611778379,0.0703001934973973,0.0793553011131556,0.014913854515712,0.00413907284768212,0.390330683914113
4,"HB",0.469774783780053,0.0331969017597471,0.0182566627159225,0.127269000461713,0.11099556374264,0.00925925925925926,0.0914440208104262,0.00914674634794157,0,0.130657061122297,0,0.00373134328358209,0.033750925355403,0.0448126072193236,0.0915021621178338,0.224547046841823,0.0983007815097368,0.00422297297297297,0,0.499132160699325,0,0,0.0950317070010931,0.0054585152838428,0.162439569216433,0.306145136717701,0.0450442392801298,0,0.00531914893617021,0.38056168356463,0.00928508264743895,0.00874520080443659,0.263696080333887,0.0362284178521089,0.225203929814396,0.270232238094712,0.03213865484633,0,0,0.154470395606692
